 BOEING-VERTOL VR-8 AIRFOIL WITH TAB

1.010000000000000009e+00 9.039999999999999642e-04
1.010000000000000009e+00 3.403999999999999908e-03
9.599999999999999645e-01 3.403999999999999908e-03
9.449999999999999512e-01 5.239999999999999866e-03
9.200000000000000400e-01 7.609999999999999577e-03
8.900000000000000133e-01 1.047999999999999973e-02
8.499999999999999778e-01 1.427999999999999929e-02
8.000000000000000444e-01 1.899999999999999953e-02
7.500000000000000000e-01 2.369999999999999885e-02
6.999999999999999556e-01 2.850000000000000103e-02
6.500000000000000222e-01 3.330000000000000321e-02
5.999999999999999778e-01 3.799999999999999906e-02
5.500000000000000444e-01 4.259999999999999898e-02
5.000000000000000000e-01 4.669999999999999846e-02
4.500000000000000111e-01 5.020000000000000157e-02
4.000000000000000222e-01 5.249999999999999806e-02
3.499999999999999778e-01 5.349999999999999895e-02
2.999999999999999889e-01 5.299999999999999850e-02
2.500000000000000000e-01 5.099999999999999672e-02
2.000000000000000111e-01 4.800000000000000100e-02
1.600000000000000033e-01 4.440000000000000197e-02
1.250000000000000000e-01 4.019999999999999962e-02
9.500000000000000111e-02 3.570000000000000256e-02
7.000000000000000666e-02 3.090000000000000038e-02
5.000000000000000278e-02 2.610000000000000167e-02
3.500000000000000333e-02 2.170000000000000054e-02
2.500000000000000139e-02 1.830000000000000029e-02
2.000000000000000042e-02 1.425000000000000051e-02
1.000000000000000021e-02 1.175000000000000003e-02
5.000000000000000104e-03 8.500000000000000611e-03
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000104e-03 -5.349999999999999721e-03
1.000000000000000021e-02 -7.369999999999999815e-03
2.000000000000000042e-02 -8.800000000000000530e-03
2.500000000000000139e-02 -1.089999999999999997e-02
3.500000000000000333e-02 -1.255000000000000039e-02
5.000000000000000278e-02 -1.464999999999999983e-02
7.000000000000000666e-02 -1.685000000000000039e-02
9.500000000000000111e-02 -1.899999999999999953e-02
1.250000000000000000e-01 -2.120000000000000009e-02
1.600000000000000033e-01 -2.319999999999999840e-02
2.000000000000000111e-01 -2.500000000000000139e-02
2.500000000000000000e-01 -2.659999999999999865e-02
2.999999999999999889e-01 -2.769999999999999893e-02
3.499999999999999778e-01 -2.800000000000000058e-02
4.000000000000000222e-01 -2.759999999999999953e-02
4.500000000000000111e-01 -2.649999999999999925e-02
5.000000000000000000e-01 -2.469999999999999973e-02
5.500000000000000444e-01 -2.249999999999999917e-02
5.999999999999999778e-01 -2.000000000000000042e-02
6.500000000000000222e-01 -1.750000000000000167e-02
6.999999999999999556e-01 -1.499999999999999944e-02
7.500000000000000000e-01 -1.250000000000000069e-02
8.000000000000000444e-01 -1.000000000000000021e-02
8.499999999999999778e-01 -7.499999999999999722e-03
8.900000000000000133e-01 -5.499999999999999681e-03
9.200000000000000400e-01 -4.000000000000000083e-03
9.449999999999999512e-01 -2.749999999999999840e-03
9.599999999999999645e-01 -1.595999999999999979e-03
1.010000000000000009e+00 -1.595999999999999979e-03
1.010000000000000009e+00 9.039999999999999642e-04
