FX 79-L-120

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.989299999999999846e-01 8.999999999999999754e-04
9.957200000000000495e-01 1.180000000000000059e-03
9.903899999999999926e-01 1.660000000000000017e-03
9.829599999999999449e-01 2.210000000000000159e-03
9.734699999999999465e-01 2.969999999999999984e-03
9.619400000000000173e-01 3.899999999999999821e-03
9.484399999999999498e-01 5.000000000000000104e-03
9.330100000000000060e-01 6.270000000000000399e-03
9.157300000000000439e-01 7.720000000000000299e-03
8.966800000000000326e-01 9.390000000000000777e-03
8.759200000000000319e-01 1.128999999999999969e-02
8.535500000000000309e-01 1.342999999999999923e-02
8.296700000000000186e-01 1.581000000000000114e-02
8.043799999999999839e-01 1.845000000000000112e-02
7.777899999999999814e-01 2.130999999999999908e-02
7.500000000000000000e-01 2.437999999999999889e-02
7.211400000000000032e-01 2.766000000000000056e-02
6.913399999999999546e-01 3.111999999999999836e-02
6.607199999999999740e-01 3.472000000000000086e-02
6.294100000000000250e-01 3.839000000000000051e-02
5.975500000000000256e-01 4.209000000000000241e-02
5.652599999999999847e-01 4.571000000000000063e-02
5.326999999999999513e-01 4.914999999999999925e-02
5.000000000000000000e-01 5.228000000000000008e-02
4.672999999999999932e-01 5.498000000000000109e-02
4.347400000000000153e-01 5.718000000000000166e-02
4.024499999999999744e-01 5.883000000000000035e-02
3.705899999999999750e-01 5.988000000000000267e-02
3.392800000000000260e-01 6.033999999999999780e-02
3.086599999999999899e-01 6.022999999999999882e-02
2.788599999999999968e-01 5.960000000000000020e-02
2.500000000000000000e-01 5.852000000000000257e-02
2.222099999999999909e-01 5.700999999999999818e-02
1.956199999999999883e-01 5.512000000000000233e-02
1.703300000000000092e-01 5.287000000000000033e-02
1.464499999999999968e-01 5.029000000000000137e-02
1.240799999999999959e-01 4.741999999999999688e-02
1.033199999999999952e-01 4.426000000000000073e-02
8.426999999999999769e-02 4.084999999999999742e-02
6.698999999999999400e-02 3.719999999999999696e-02
5.156000000000000166e-02 3.332999999999999852e-02
3.805999999999999661e-02 2.923999999999999863e-02
2.653000000000000150e-02 2.489999999999999852e-02
1.703999999999999959e-02 2.027999999999999942e-02
9.610000000000000486e-03 1.538999999999999917e-02
4.279999999999999950e-03 1.031999999999999931e-02
1.069999999999999988e-03 5.170000000000000116e-03
0.000000000000000000e+00 0.000000000000000000e+00
1.069999999999999988e-03 -5.170000000000000116e-03
4.279999999999999950e-03 -1.031999999999999931e-02
9.610000000000000486e-03 -1.538999999999999917e-02
1.703999999999999959e-02 -2.027999999999999942e-02
2.653000000000000150e-02 -2.489999999999999852e-02
3.805999999999999661e-02 -2.923999999999999863e-02
5.156000000000000166e-02 -3.332999999999999852e-02
6.698999999999999400e-02 -3.719999999999999696e-02
8.426999999999999769e-02 -4.084999999999999742e-02
1.033199999999999952e-01 -4.426000000000000073e-02
1.240799999999999959e-01 -4.741999999999999688e-02
1.464499999999999968e-01 -5.029000000000000137e-02
1.703300000000000092e-01 -5.287000000000000033e-02
1.956199999999999883e-01 -5.512000000000000233e-02
2.222099999999999909e-01 -5.700999999999999818e-02
2.500000000000000000e-01 -5.852000000000000257e-02
2.788599999999999968e-01 -5.960000000000000020e-02
3.086599999999999899e-01 -6.022999999999999882e-02
3.392800000000000260e-01 -6.033999999999999780e-02
3.705899999999999750e-01 -5.988000000000000267e-02
4.024499999999999744e-01 -5.883000000000000035e-02
4.347400000000000153e-01 -5.718000000000000166e-02
4.672999999999999932e-01 -5.498000000000000109e-02
5.000000000000000000e-01 -5.228000000000000008e-02
5.326999999999999513e-01 -4.914999999999999925e-02
5.652599999999999847e-01 -4.571000000000000063e-02
5.975500000000000256e-01 -4.209000000000000241e-02
6.294100000000000250e-01 -3.839000000000000051e-02
6.607199999999999740e-01 -3.472000000000000086e-02
6.913399999999999546e-01 -3.111999999999999836e-02
7.211400000000000032e-01 -2.766000000000000056e-02
7.500000000000000000e-01 -2.437999999999999889e-02
7.777899999999999814e-01 -2.130999999999999908e-02
8.043799999999999839e-01 -1.845000000000000112e-02
8.296700000000000186e-01 -1.581000000000000114e-02
8.535500000000000309e-01 -1.342999999999999923e-02
8.759200000000000319e-01 -1.128999999999999969e-02
8.966800000000000326e-01 -9.390000000000000777e-03
9.157300000000000439e-01 -7.720000000000000299e-03
9.330100000000000060e-01 -6.270000000000000399e-03
9.484399999999999498e-01 -5.000000000000000104e-03
9.619400000000000173e-01 -3.899999999999999821e-03
9.734699999999999465e-01 -2.969999999999999984e-03
9.829599999999999449e-01 -2.210000000000000159e-03
9.903899999999999926e-01 -1.660000000000000017e-03
9.957200000000000495e-01 -1.180000000000000059e-03
9.989299999999999846e-01 -8.999999999999999754e-04
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
