USA 27 mod. AIRFOIL

1.000000000000000000e+00 1.000000000000000048e-04
1.000000000000000000e+00 2.200000000000000078e-04
9.499999999999999556e-01 1.790999999999999884e-02
9.000000000000000222e-01 3.296999999999999931e-02
8.000000000000000444e-01 5.836000000000000215e-02
6.999999999999999556e-01 7.920000000000000651e-02
5.999999999999999778e-01 9.435999999999999943e-02
5.000000000000000000e-01 1.070699999999999985e-01
4.000000000000000222e-01 1.143699999999999994e-01
2.999999999999999889e-01 1.167600000000000027e-01
2.000000000000000111e-01 1.096099999999999991e-01
1.499999999999999944e-01 9.940000000000000224e-02
1.000000000000000056e-01 8.462999999999999690e-02
7.499999999999999722e-02 7.327000000000000179e-02
5.000000000000000278e-02 5.858000000000000013e-02
2.500000000000000139e-02 3.724000000000000227e-02
1.250000000000000069e-02 2.370999999999999844e-02
0.000000000000000000e+00 8.300000000000000086e-04
1.250000000000000069e-02 -1.590000000000000094e-02
2.500000000000000139e-02 -1.846000000000000071e-02
5.000000000000000278e-02 -2.196000000000000035e-02
7.499999999999999722e-02 -2.395999999999999866e-02
1.000000000000000056e-01 -2.555999999999999939e-02
1.499999999999999944e-01 -2.544000000000000081e-02
2.000000000000000111e-01 -2.290999999999999981e-02
2.999999999999999889e-01 -1.611999999999999891e-02
4.000000000000000222e-01 -1.238999999999999997e-02
5.000000000000000000e-01 -1.477000000000000014e-02
5.999999999999999778e-01 -1.752000000000000085e-02
6.999999999999999556e-01 -1.730999999999999900e-02
8.000000000000000444e-01 -1.473999999999999963e-02
9.000000000000000222e-01 -1.000999999999999980e-02
9.499999999999999556e-01 -5.729999999999999850e-03
1.000000000000000000e+00 -2.000000000000000164e-05
1.000000000000000000e+00 1.000000000000000048e-04
