 DSMA-523A AIRFOIL
1.000000000000000021e-03 7.095999999999999877e-03
5.000000000000000104e-04 5.068999999999999721e-03
0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000104e-04 -5.095999999999999835e-03
1.000000000000000021e-03 -7.127999999999999788e-03
2.500000000000000052e-03 -1.107799999999999931e-02
5.089999999999999906e-03 -1.532000000000000028e-02
7.499999999999999722e-03 -1.841699999999999934e-02
1.000000000000000021e-02 -2.067099999999999840e-02
1.250000000000000069e-02 -2.254799999999999860e-02
1.499999999999999944e-02 -2.413500000000000020e-02
2.000000000000000042e-02 -2.674400000000000041e-02
2.999999999999999889e-02 -3.066699999999999982e-02
4.000000000000000083e-02 -3.360699999999999799e-02
5.999999999999999778e-02 -3.708700000000000191e-02
8.000000000000000167e-02 -4.173899999999999832e-02
1.000000000000000056e-01 -4.464800000000000019e-02
1.199999999999999956e-01 -4.679599999999999732e-02
1.400000000000000133e-01 -4.861599999999999949e-02
1.600000000000000033e-01 -5.011399999999999882e-02
1.799999999999999933e-01 -5.134799999999999781e-02
2.000000000000000111e-01 -5.236999999999999988e-02
2.200000000000000011e-01 -5.320699999999999735e-02
2.399999999999999911e-01 -5.389000000000000040e-02
2.600000000000000089e-01 -5.442299999999999915e-02
2.800000000000000266e-01 -5.480800000000000255e-02
2.999999999999999889e-01 -5.505600000000000077e-02
3.200000000000000067e-01 -5.516299999999999676e-02
3.400000000000000244e-01 -5.513699999999999851e-02
3.599999999999999867e-01 -5.497799999999999909e-02
3.800000000000000044e-01 -5.470099999999999962e-02
4.000000000000000222e-01 -5.428299999999999792e-02
4.199999999999999845e-01 -5.371900000000000286e-02
4.400000000000000022e-01 -5.300900000000000056e-02
4.600000000000000200e-01 -5.214300000000000185e-02
4.799999999999999822e-01 -5.113600000000000090e-02
5.000000000000000000e-01 -4.991500000000000103e-02
5.200000000000000178e-01 -4.848299999999999832e-02
5.400000000000000355e-01 -4.678000000000000214e-02
5.600000000000000533e-01 -4.461299999999999988e-02
5.799999999999999600e-01 -4.200600000000000167e-02
5.999999999999999778e-01 -3.888500000000000290e-02
6.199999999999999956e-01 -3.518099999999999700e-02
6.400000000000000133e-01 -3.093999999999999875e-02
6.600000000000000311e-01 -2.608699999999999908e-02
6.800000000000000488e-01 -2.063299999999999856e-02
6.999999999999999556e-01 -1.544500000000000040e-02
7.199999999999999734e-01 -1.057400000000000007e-02
7.399999999999999911e-01 -6.027000000000000239e-03
7.600000000000000089e-01 -1.871999999999999966e-03
7.800000000000000266e-01 1.892000000000000019e-03
8.000000000000000444e-01 5.224000000000000345e-03
8.199999999999999512e-01 8.108000000000000623e-03
8.399999999999999689e-01 1.050500000000000045e-02
8.599999999999999867e-01 1.237399999999999958e-02
8.800000000000000044e-01 1.364499999999999914e-02
9.000000000000000222e-01 1.416899999999999930e-02
9.200000000000000400e-01 1.379799999999999950e-02
9.499999999999999556e-01 1.233800000000000001e-02
9.599999999999999645e-01 9.726000000000000270e-03
9.799999999999999822e-01 5.773000000000000353e-03
1.000000000000000000e+00 4.979999999999999618e-04
1.000000000000000000e+00 4.029999999999999837e-04
