NACA 0010-66

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 1.000000000000000021e-03
9.499999999999999556e-01 1.655999999999999833e-02
9.000000000000000222e-01 2.833000000000000101e-02
8.000000000000000444e-01 4.299999999999999656e-02
6.999999999999999556e-01 4.889000000000000290e-02
5.999999999999999778e-01 5.000000000000000278e-02
5.000000000000000000e-01 4.955999999999999989e-02
4.000000000000000222e-01 4.821999999999999897e-02
2.999999999999999889e-01 4.578000000000000125e-02
2.000000000000000111e-01 4.177999999999999770e-02
1.499999999999999944e-01 3.855999999999999706e-02
1.000000000000000056e-01 3.400000000000000244e-02
7.499999999999999722e-02 3.089000000000000079e-02
5.000000000000000278e-02 2.656000000000000028e-02
2.500000000000000139e-02 2.010999999999999940e-02
1.250000000000000069e-02 1.489000000000000046e-02
0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000069e-02 -1.489000000000000046e-02
2.500000000000000139e-02 -2.010999999999999940e-02
5.000000000000000278e-02 -2.656000000000000028e-02
7.499999999999999722e-02 -3.089000000000000079e-02
1.000000000000000056e-01 -3.400000000000000244e-02
1.499999999999999944e-01 -3.855999999999999706e-02
2.000000000000000111e-01 -4.177999999999999770e-02
2.999999999999999889e-01 -4.578000000000000125e-02
4.000000000000000222e-01 -4.821999999999999897e-02
5.000000000000000000e-01 -4.955999999999999989e-02
5.999999999999999778e-01 -5.000000000000000278e-02
6.999999999999999556e-01 -4.889000000000000290e-02
8.000000000000000444e-01 -4.299999999999999656e-02
9.000000000000000222e-01 -2.833000000000000101e-02
9.499999999999999556e-01 -1.655999999999999833e-02
1.000000000000000000e+00 -1.000000000000000021e-03
1.000000000000000000e+00 0.000000000000000000e+00
