CLARK Z AIRFOIL

1.000000000000000000e+00 5.999999999999999474e-04
1.000000000000000000e+00 1.199999999999999895e-03
9.499999999999999556e-01 1.352000000000000077e-02
9.000000000000000222e-01 2.523999999999999855e-02
8.000000000000000444e-01 4.667999999999999927e-02
6.999999999999999556e-01 6.522000000000000020e-02
5.999999999999999778e-01 8.046000000000000374e-02
5.000000000000000000e-01 9.160000000000000087e-02
4.000000000000000222e-01 9.773999999999999355e-02
2.999999999999999889e-01 9.818000000000000338e-02
2.000000000000000111e-01 9.052000000000000324e-02
1.499999999999999944e-01 8.204000000000000181e-02
1.000000000000000056e-01 6.936000000000000498e-02
7.499999999999999722e-02 6.097000000000000336e-02
5.000000000000000278e-02 5.068000000000000282e-02
2.500000000000000139e-02 3.558999999999999664e-02
1.250000000000000069e-02 2.394999999999999907e-02
0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000069e-02 -1.695999999999999938e-02
2.500000000000000139e-02 -2.070999999999999924e-02
5.000000000000000278e-02 -2.351999999999999924e-02
7.499999999999999722e-02 -2.452999999999999972e-02
1.000000000000000056e-01 -2.453999999999999931e-02
1.499999999999999944e-01 -2.346000000000000169e-02
2.000000000000000111e-01 -2.207999999999999893e-02
2.999999999999999889e-01 -1.932000000000000037e-02
4.000000000000000222e-01 -1.655999999999999833e-02
5.000000000000000000e-01 -1.379999999999999977e-02
5.999999999999999778e-01 -1.103999999999999947e-02
6.999999999999999556e-01 -8.279999999999999166e-03
8.000000000000000444e-01 -5.519999999999999733e-03
9.000000000000000222e-01 -2.759999999999999867e-03
9.499999999999999556e-01 -1.379999999999999933e-03
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.999999999999999474e-04
