EH 2.5/10

1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
9.899999999999999911e-01 8.400000000000000348e-04
9.799999999999999822e-01 1.690000000000000096e-03
9.699999999999999734e-01 2.560000000000000209e-03
9.499999999999999556e-01 4.320000000000000055e-03
9.250000000000000444e-01 6.629999999999999609e-03
9.000000000000000222e-01 9.050000000000000752e-03
8.750000000000000000e-01 1.161000000000000053e-02
8.499999999999999778e-01 1.430000000000000021e-02
8.249999999999999556e-01 1.711999999999999980e-02
8.000000000000000444e-01 2.004999999999999838e-02
7.750000000000000222e-01 2.306000000000000064e-02
7.500000000000000000e-01 2.613000000000000045e-02
7.249999999999999778e-01 2.926000000000000129e-02
6.999999999999999556e-01 3.244999999999999968e-02
6.750000000000000444e-01 3.568000000000000338e-02
6.500000000000000222e-01 3.894000000000000239e-02
5.999999999999999778e-01 4.547999999999999959e-02
5.500000000000000444e-01 5.190000000000000169e-02
5.000000000000000000e-01 5.804000000000000131e-02
4.500000000000000111e-01 6.364999999999999825e-02
4.000000000000000222e-01 6.847000000000000308e-02
3.499999999999999778e-01 7.216000000000000192e-02
2.999999999999999889e-01 7.430000000000000493e-02
2.750000000000000222e-01 7.464999999999999414e-02
2.500000000000000000e-01 7.442000000000000004e-02
2.250000000000000056e-01 7.352999999999999814e-02
2.000000000000000111e-01 7.188999999999999557e-02
1.749999999999999889e-01 6.940000000000000335e-02
1.499999999999999944e-01 6.592000000000000637e-02
1.250000000000000000e-01 6.130000000000000032e-02
1.000000000000000056e-01 5.534000000000000030e-02
7.499999999999999722e-02 4.773000000000000159e-02
5.000000000000000278e-02 3.794999999999999762e-02
3.500000000000000333e-02 3.064000000000000057e-02
2.500000000000000139e-02 2.486000000000000015e-02
2.000000000000000042e-02 2.157999999999999849e-02
1.499999999999999944e-02 1.796999999999999986e-02
1.250000000000000069e-02 1.601999999999999952e-02
1.000000000000000021e-02 1.396000000000000019e-02
7.499999999999999722e-03 1.170999999999999992e-02
5.000000000000000104e-03 9.159999999999999740e-03
4.000000000000000083e-03 9.010000000000000647e-03
3.000000000000000062e-03 6.760000000000000384e-03
2.500000000000000052e-03 6.089999999999999927e-03
2.000000000000000042e-03 5.380000000000000233e-03
1.500000000000000031e-03 4.610000000000000382e-03
1.000000000000000021e-03 3.729999999999999809e-03
5.000000000000000104e-04 2.629999999999999959e-03
0.000000000000000000e+00 3.200000000000000262e-04
5.000000000000000104e-04 -1.869999999999999917e-03
1.000000000000000021e-03 -2.880000000000000181e-03
1.500000000000000031e-03 -3.650000000000000033e-03
2.000000000000000042e-03 -4.300000000000000003e-03
2.500000000000000052e-03 -4.870000000000000197e-03
3.000000000000000062e-03 -5.380000000000000233e-03
4.000000000000000083e-03 -6.239999999999999887e-03
5.000000000000000104e-03 -6.960000000000000041e-03
7.499999999999999722e-03 -8.349999999999999784e-03
1.000000000000000021e-02 -9.390000000000000777e-03
1.250000000000000069e-02 -1.030000000000000013e-02
1.499999999999999944e-02 -1.115000000000000019e-02
2.000000000000000042e-02 -1.264999999999999979e-02
2.500000000000000139e-02 -1.391000000000000049e-02
3.500000000000000333e-02 -1.580000000000000154e-02
5.000000000000000278e-02 -1.769000000000000086e-02
7.499999999999999722e-02 -1.968999999999999917e-02
1.000000000000000056e-01 -2.088999999999999885e-02
1.250000000000000000e-01 -2.172999999999999932e-02
1.499999999999999944e-01 -2.240999999999999936e-02
1.749999999999999889e-01 -2.299999999999999961e-02
2.000000000000000111e-01 -2.353999999999999843e-02
2.250000000000000056e-01 -2.404999999999999846e-02
2.500000000000000000e-01 -2.455999999999999850e-02
2.750000000000000222e-01 -2.510000000000000078e-02
2.999999999999999889e-01 -2.563999999999999960e-02
3.499999999999999778e-01 -2.670000000000000151e-02
4.000000000000000222e-01 -2.759999999999999953e-02
4.500000000000000111e-01 -2.823000000000000162e-02
5.000000000000000000e-01 -2.845999999999999919e-02
5.500000000000000444e-01 -2.817000000000000060e-02
5.999999999999999778e-01 -2.726999999999999910e-02
6.500000000000000222e-01 -2.571000000000000021e-02
6.750000000000000444e-01 -2.468000000000000055e-02
6.999999999999999556e-01 -2.348000000000000087e-02
7.199999999999999734e-01 -2.212000000000000077e-02
7.500000000000000000e-01 -2.058000000000000107e-02
7.750000000000000222e-01 -1.888000000000000095e-02
8.000000000000000444e-01 -1.702000000000000041e-02
8.249999999999999556e-01 -1.502999999999999996e-02
8.499999999999999778e-01 -1.297000000000000063e-02
8.750000000000000000e-01 -1.086999999999999945e-02
9.000000000000000222e-01 -8.739999999999999505e-03
9.250000000000000444e-01 -6.579999999999999911e-03
9.499999999999999556e-01 -4.400000000000000265e-03
9.699999999999999734e-01 -2.639999999999999986e-03
9.799999999999999822e-01 -1.760000000000000063e-03
9.899999999999999911e-01 -8.800000000000000313e-04
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
